,MaxBenefit,x0,sigma,MassLoss,GrowthRate,OffspringNum,Symmetry,OffspringSet,dummy
214,6.607,5.0,3.0,1.0,5.9139472828290245,3,0.9944,2.37; 2.37; 2.38;,
215,4.7860000000000005,5.0,10.0,1.0,5.3673263446575215,10,0.6666,1.04; 1.04; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02;,
216,0.41700000000000004,5.0,3.0,1.0,1.2352417132790308,5,0.9887,1.78; 1.79; 1.77; 1.79; 1.77;,
217,0.501,5.0,10.0,1.0,1.4294713517540272,13,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
218,0.166,5.0,3.0,1.0,1.0700228149740496,14,0.6666,1.04; 1.04; 1.04; 1.04; 1.04; 1.04; 1.04; 1.04; 1.04; 1.04; 1.04; 1.04; 1.04; 1.02;,
219,1.995,5.0,10.0,1.0,2.8001457865048636,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
220,7.943,5.0,10.0,1.0,8.27325986117608,10,0.0,1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.0; 1.0; 1.0; 1.0;,
221,6.917999999999999,5.0,10.0,1.0,7.329758729474081,10,0.0,1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.0; 1.0;,
222,2.291,5.0,10.0,1.0,3.0722812626166247,11,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
223,0.631,5.0,10.0,1.0,1.5480189829349562,13,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
224,0.794,5.0,3.0,1.0,1.5087903951417931,4,0.992,2.01; 2.02; 2.0; 2.01;,
225,7.586,5.0,10.0,1.0,7.944643562725662,10,0.0,1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.0; 1.0; 1.0;,
226,7.244,5.0,10.0,1.0,7.629837468514338,10,0.0,1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.0; 1.0; 1.0;,
227,0.955,5.0,3.0,1.0,1.6271265035923514,3,0.9969,2.5; 2.5; 2.51;,
228,10.0,5.0,10.0,1.0,10.166728817152663,10,0.0,1.02; 1.02; 1.02; 1.02; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
229,4.571000000000001,5.0,10.0,1.0,5.1694316901009865,10,0.6666,1.04; 1.04; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02;,
230,0.6609999999999999,5.0,10.0,1.0,1.5753692771431749,13,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
231,6.31,5.0,10.0,1.0,6.770108427250209,10,0.0,1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.0;,
232,0.132,5.0,3.0,1.0,1.0518883585070211,19,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
233,0.302,5.0,10.0,1.0,1.248949592108482,15,0.0,1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0;,
234,6.607,5.0,1.0,1.0,3.2942060998560065,2,0.9957,3.06; 3.05;,
235,8.318,5.0,10.0,1.0,8.618444889033551,10,0.0,1.02; 1.02; 1.02; 1.02; 1.02; 1.02; 1.0; 1.0; 1.0; 1.0;,
